epoch,train_loss,train_accuracy,test_loss,test_accuracy,f1_score,mcc,confusion_matrix
0,,,1.0595455020666122,52.5,0.44252173913043485,0.2998397533649625,"[[ 0 11  0 31]
 [ 0 86  0 11]
 [ 0  7  0 21]
 [ 0 14  0 19]]"
1,,,1.0083232372999191,51.5,0.4565058876811594,0.3415404289772276,"[[ 0  3  0 39]
 [ 0 79  0 18]
 [ 0  4  0 24]
 [ 0  9  0 24]]"
2,,,0.9955061823129654,50.5,0.4553200768775872,0.3692012194675546,"[[ 0  2  0 40]
 [ 0 72  0 25]
 [ 0  3  0 25]
 [ 0  4  0 29]]"
3,,,0.973511129617691,51.0,0.4491965811965812,0.3242947193078792,"[[ 0  3  0 39]
 [ 0 79  0 18]
 [ 0  6  0 22]
 [ 0 10  0 23]]"
4,,,0.9757822304964066,52.5,0.44349945828819065,0.3043765740229922,"[[ 0 11  0 31]
 [ 0 85  0 12]
 [ 0  7  0 21]
 [ 0 13  0 20]]"
5,,,1.0503084510564804,53.0,0.4050999101930849,0.22897009323481815,"[[ 0 27  0 15]
 [ 0 95  0  2]
 [ 0 21  0  7]
 [ 0 22  0 11]]"
6,,,0.9258419126272202,51.5,0.45485685110245455,0.3386277763510432,"[[ 0  3  0 39]
 [ 0 79  0 18]
 [ 0  5  0 23]
 [ 0  9  0 24]]"
7,,,0.9373786002397537,51.5,0.4471745921555016,0.31655834897174917,"[[ 0  6  0 36]
 [ 0 81  0 16]
 [ 0  6  0 22]
 [ 0 11  0 22]]"
8,,,1.0164243429899216,48.0,0.4441212121212121,0.3749562701934606,"[[ 0  0  0 42]
 [ 0 65  0 32]
 [ 0  1  0 27]
 [ 0  2  0 31]]"
9,,,1.1334922760725021,52.0,0.3912535803522458,0.19810390377893308,"[[ 0 31  0 11]
 [ 0 95  0  2]
 [ 0 22  0  6]
 [ 0 24  0  9]]"
10,,,1.0044122338294983,53.5,0.4234340449866565,0.26310352790999925,"[[ 0 18  0 24]
 [ 0 93  0  4]
 [ 0 17  0 11]
 [ 0 19  0 14]]"
11,,,0.936938151717186,50.5,0.45498888888888883,0.3622356213290908,"[[ 0  2  0 40]
 [ 0 73  0 24]
 [ 0  3  0 25]
 [ 0  5  0 28]]"
12,,,0.9498400390148163,52.0,0.443275597973371,0.3099337101637086,"[[ 0 10  0 32]
 [ 0 82  0 15]
 [ 0  7  0 21]
 [ 0 11  0 22]]"
13,,,0.9290802478790283,51.0,0.44761117879987816,0.3214894581554256,"[[ 0  4  0 38]
 [ 0 79  0 18]
 [ 0  6  0 22]
 [ 0 10  0 23]]"
14,,,1.1264227330684662,52.5,0.4025494505494505,0.22006470268295938,"[[ 0 26  0 16]
 [ 0 94  0  3]
 [ 0 21  0  7]
 [ 0 22  0 11]]"
15,,,0.9876828044652939,54.5,0.4501002358490566,0.31633871898890664,"[[ 0 11  0 31]
 [ 0 91  0  6]
 [ 0 10  0 18]
 [ 0 15  0 18]]"
16,,,0.9325806498527527,51.5,0.4565058876811594,0.3415404289772276,"[[ 0  3  0 39]
 [ 0 79  0 18]
 [ 0  4  0 24]
 [ 0  9  0 24]]"
17,,,0.9616799056529999,52.0,0.443275597973371,0.3099337101637086,"[[ 0 10  0 32]
 [ 0 82  0 15]
 [ 0  7  0 21]
 [ 0 11  0 22]]"
18,,,0.9338177293539047,51.5,0.45485685110245455,0.3386277763510432,"[[ 0  3  0 39]
 [ 0 79  0 18]
 [ 0  5  0 23]
 [ 0  9  0 24]]"
19,,,0.9755669981241226,52.0,0.44027182603133996,0.29796901742487775,"[[ 0 11  0 31]
 [ 0 84  0 13]
 [ 0  7  0 21]
 [ 0 13  0 20]]"
20,,,0.9884702265262604,55.0,0.45319365079365087,0.3233828134332049,"[[ 0 11  0 31]
 [ 0 92  0  5]
 [ 0 10  0 18]
 [ 0 15  0 18]]"
21,,,0.9655274301767349,51.5,0.44057294174289846,0.3372484371398373,"[[ 0  6 36  0]
 [ 0 81 16  0]
 [ 0  6 22  0]
 [ 0 11 22  0]]"
22,,,0.9419286549091339,51.0,0.45815322850451656,0.36086144367485634,"[[ 0  2  0 40]
 [ 0 75  0 22]
 [ 0  3  0 25]
 [ 0  6  0 27]]"
23,,,0.9462306648492813,51.0,0.45080882352941176,0.3271335677156747,"[[ 0  3  0 39]
 [ 0 79  0 18]
 [ 0  5  0 23]
 [ 0 10  0 23]]"
24,,,0.9900270849466324,53.5,0.44512889700693264,0.3045320642012566,"[[ 0 11  0 31]
 [ 0 89  0  8]
 [ 0  9  0 19]
 [ 0 15  0 18]]"
25,,,0.9779255837202072,53.0,0.4467096358362875,0.31083732370807116,"[[ 0 11  0 31]
 [ 0 86  0 11]
 [ 0  7  0 21]
 [ 0 13  0 20]]"
26,,,0.9848185181617737,52.5,0.4465755044136192,0.31615621438923014,"[[ 0 10  0 32]
 [ 0 83  0 14]
 [ 0  7  0 21]
 [ 0 11  0 22]]"
27,,,0.9559813439846039,51.5,0.4471745921555016,0.31655834897174917,"[[ 0  6  0 36]
 [ 0 81  0 16]
 [ 0  6  0 22]
 [ 0 11  0 22]]"
28,,,0.9414378106594086,51.0,0.45815322850451656,0.36086144367485634,"[[ 0  2  0 40]
 [ 0 75  0 22]
 [ 0  3  0 25]
 [ 0  6  0 27]]"
29,,,0.9440136253833771,51.5,0.4471745921555016,0.31655834897174917,"[[ 0  6  0 36]
 [ 0 81  0 16]
 [ 0  6  0 22]
 [ 0 11  0 22]]"
30,,,0.939653679728508,51.0,0.45815322850451656,0.36086144367485634,"[[ 0  2  0 40]
 [ 0 75  0 22]
 [ 0  3  0 25]
 [ 0  6  0 27]]"
31,,,0.943560853600502,51.5,0.4509762986145567,0.32733088329753923,"[[ 0  4  0 38]
 [ 0 80  0 17]
 [ 0  6  0 22]
 [ 0 10  0 23]]"
32,,,0.9600908309221268,51.5,0.4442096893060781,0.31135300042297576,"[[ 0  7  0 35]
 [ 0 81  0 16]
 [ 0  7  0 21]
 [ 0 11  0 22]]"
33,,,0.9367548376321793,51.5,0.4509762986145567,0.32733088329753923,"[[ 0  4  0 38]
 [ 0 80  0 17]
 [ 0  6  0 22]
 [ 0 10  0 23]]"
0,,,0.6732034680415999,62.78486798935362,0.5376479640391355,0.4260259694668839,"[[    0     0 15648  4925]
 [    0     0 11919  6606]
 [    0     0 20663  6413]
 [    0     0  4965 64494]]"
1,,,0.6677137168370327,62.860808210391276,0.5391906457597072,0.4297454248619954,"[[    0     0 15889  4684]
 [    0     0 12054  6471]
 [    0     0 20959  6117]
 [    0     0  5158 64301]]"
2,,,0.6695173539783594,62.87039289848341,0.5404078727367138,0.4323790625378943,"[[    0     1 16135  4437]
 [    0     5 12302  6218]
 [    0     3 21154  5919]
 [    0     1  5344 64114]]"
0,,,1.3187797963619232,47.5,0.44077191386108583,0.3825774576606565,"[[ 0  0 42  0]
 [ 0 68 29  0]
 [ 0  1 27  0]
 [ 0  2 31  0]]"
1,,,1.2679307758808136,48.5,0.3168013468013468,0.0,"[[ 0 42  0  0]
 [ 0 97  0  0]
 [ 0 28  0  0]
 [ 0 33  0  0]]"
2,,,1.2325244843959808,48.5,0.3168013468013468,0.0,"[[ 0 42  0  0]
 [ 0 97  0  0]
 [ 0 28  0  0]
 [ 0 33  0  0]]"
3,,,1.174742192029953,48.5,0.3168013468013468,0.0,"[[ 0 42  0  0]
 [ 0 97  0  0]
 [ 0 28  0  0]
 [ 0 33  0  0]]"
4,,,1.0992790460586548,48.5,0.3168013468013468,0.0,"[[ 0 42  0  0]
 [ 0 97  0  0]
 [ 0 28  0  0]
 [ 0 33  0  0]]"
5,,,1.0668782591819763,53.0,0.41525211958946895,0.24566215492406307,"[[ 0 22  0 20]
 [ 0 93  0  4]
 [ 0 17  0 11]
 [ 0 20  0 13]]"
6,,,1.0634030401706696,49.0,0.32757750397456276,0.08060292065912932,"[[ 0 42  0  0]
 [ 0 97  0  0]
 [ 0 28  0  0]
 [ 0 32  0  1]]"
7,,,1.024493619799614,50.5,0.4553200768775872,0.3692012194675546,"[[ 0  2  0 40]
 [ 0 72  0 25]
 [ 0  3  0 25]
 [ 0  4  0 29]]"
8,,,1.015551581978798,51.0,0.44536959607196286,0.3132666310848695,"[[ 0  5  0 37]
 [ 0 80  0 17]
 [ 0  6  0 22]
 [ 0 11  0 22]]"
9,,,1.1428918689489365,48.5,0.3168013468013468,0.0,"[[ 0 42  0  0]
 [ 0 97  0  0]
 [ 0 28  0  0]
 [ 0 33  0  0]]"
10,,,1.0154586136341095,52.5,0.44349945828819065,0.3043765740229922,"[[ 0 11  0 31]
 [ 0 85  0 12]
 [ 0  7  0 21]
 [ 0 13  0 20]]"
11,,,1.0044254809617996,53.0,0.4467096358362875,0.31083732370807116,"[[ 0 11  0 31]
 [ 0 86  0 11]
 [ 0  7  0 21]
 [ 0 13  0 20]]"
12,,,0.9837309569120407,50.5,0.458961038961039,0.37638161293064026,"[[ 0  1  0 41]
 [ 0 72  0 25]
 [ 0  2  0 26]
 [ 0  4  0 29]]"
13,,,0.9685384631156921,51.0,0.45815322850451656,0.36086144367485634,"[[ 0  2  0 40]
 [ 0 75  0 22]
 [ 0  3  0 25]
 [ 0  6  0 27]]"
14,,,0.9982892423868179,53.5,0.4287623310193643,0.27275015908288863,"[[ 0 15  0 27]
 [ 0 92  0  5]
 [ 0 16  0 12]
 [ 0 18  0 15]]"
15,,,1.0055675357580185,54.0,0.42993333022518526,0.2774127483042142,"[[ 0 16  0 26]
 [ 0 93  0  4]
 [ 0 17  0 11]
 [ 0 18  0 15]]"
16,,,0.9668921232223511,51.0,0.46515381218722396,0.4003411767507578,"[[ 0  1  0 41]
 [ 0 71  0 26]
 [ 0  1  0 27]
 [ 0  2  0 31]]"
17,,,0.9993883371353149,51.5,0.4471745921555016,0.31655834897174917,"[[ 0  6  0 36]
 [ 0 81  0 16]
 [ 0  6  0 22]
 [ 0 11  0 22]]"
18,,,0.9602193981409073,52.5,0.4465755044136192,0.31615621438923014,"[[ 0 10  0 32]
 [ 0 83  0 14]
 [ 0  7  0 21]
 [ 0 11  0 22]]"
19,,,0.9695485234260559,53.5,0.4464090909090909,0.30660790723291004,"[[ 0 11  0 31]
 [ 0 89  0  8]
 [ 0  8  0 20]
 [ 0 15  0 18]]"
20,,,0.9502642601728439,51.5,0.4471745921555016,0.31655834897174917,"[[ 0  6  0 36]
 [ 0 81  0 16]
 [ 0  6  0 22]
 [ 0 11  0 22]]"
21,,,0.9475506544113159,50.5,0.4553200768775872,0.3692012194675546,"[[ 0  2  0 40]
 [ 0 72  0 25]
 [ 0  3  0 25]
 [ 0  4  0 29]]"
22,,,1.0510385036468506,52.0,0.3912535803522458,0.19810390377893308,"[[ 0 31  0 11]
 [ 0 95  0  2]
 [ 0 22  0  6]
 [ 0 24  0  9]]"
23,,,0.961082249879837,50.5,0.458961038961039,0.37638161293064026,"[[ 0  1  0 41]
 [ 0 72  0 25]
 [ 0  2  0 26]
 [ 0  4  0 29]]"
24,,,1.0117183774709702,54.0,0.430875,0.27898143738005626,"[[ 0 16  0 26]
 [ 0 93  0  4]
 [ 0 16  0 12]
 [ 0 18  0 15]]"
25,,,1.0028910636901855,53.5,0.42255702280912366,0.26158032606596676,"[[ 0 19  0 23]
 [ 0 93  0  4]
 [ 0 17  0 11]
 [ 0 19  0 14]]"
26,,,0.9527474790811539,51.5,0.442766106442577,0.30879306116679633,"[[ 0  8  0 34]
 [ 0 81  0 16]
 [ 0  7  0 21]
 [ 0 11  0 22]]"
27,,,1.0087587088346481,54.0,0.4333142779365728,0.28383809655534736,"[[ 0 15  0 27]
 [ 0 92  0  5]
 [ 0 16  0 12]
 [ 0 17  0 16]]"
28,,,0.9660710543394089,53.0,0.4467096358362875,0.31083732370807116,"[[ 0 11  0 31]
 [ 0 86  0 11]
 [ 0  7  0 21]
 [ 0 13  0 20]]"
29,,,0.9637036621570587,51.5,0.4442096893060781,0.31135300042297576,"[[ 0  7  0 35]
 [ 0 81  0 16]
 [ 0  7  0 21]
 [ 0 11  0 22]]"
30,,,0.968404158949852,52.5,0.44252173913043485,0.2998397533649625,"[[ 0 11  0 31]
 [ 0 86  0 11]
 [ 0  7  0 21]
 [ 0 14  0 19]]"
31,,,0.9463621824979782,51.5,0.4509762986145567,0.32733088329753923,"[[ 0  4  0 38]
 [ 0 80  0 17]
 [ 0  6  0 22]
 [ 0 10  0 23]]"
32,,,0.9476243257522583,51.5,0.4509762986145567,0.32733088329753923,"[[ 0  4  0 38]
 [ 0 80  0 17]
 [ 0  6  0 22]
 [ 0 10  0 23]]"
33,,,0.9409793317317963,51.5,0.4442096893060781,0.31135300042297576,"[[ 0  7  0 35]
 [ 0 81  0 16]
 [ 0  7  0 21]
 [ 0 11  0 22]]"
34,,,1.0653619915246964,52.5,0.40656470588235294,0.22671224533162057,"[[ 0 25  0 17]
 [ 0 93  0  4]
 [ 0 19  0  9]
 [ 0 21  0 12]]"
35,,,0.9313107281923294,51.0,0.45815322850451656,0.36086144367485634,"[[ 0  2  0 40]
 [ 0 75  0 22]
 [ 0  3  0 25]
 [ 0  6  0 27]]"
36,,,0.9671685546636581,53.5,0.448850780963256,0.31298085114420926,"[[ 0 11  0 31]
 [ 0 88  0  9]
 [ 0  7  0 21]
 [ 0 14  0 19]]"
37,,,1.0005715191364288,54.5,0.442987012987013,0.3033677056079168,"[[ 0 13  0 29]
 [ 0 92  0  5]
 [ 0 13  0 15]
 [ 0 16  0 17]]"
38,,,1.1964215785264969,50.5,0.3594736842105263,0.14218372923660777,"[[ 0 36  0  6]
 [ 0 97  0  0]
 [ 0 26  0  2]
 [ 0 29  0  4]]"
39,,,1.0413608849048615,53.0,0.4177787456445994,0.25020089846829224,"[[ 0 19  0 23]
 [ 0 93  0  4]
 [ 0 17  0 11]
 [ 0 20  0 13]]"
40,,,0.9386093467473984,51.5,0.4565058876811594,0.3415404289772276,"[[ 0  3  0 39]
 [ 0 79  0 18]
 [ 0  4  0 24]
 [ 0  9  0 24]]"
41,,,0.9350807666778564,51.5,0.4588280986153327,0.35050606784098176,"[[ 0  2  0 40]
 [ 0 78  0 19]
 [ 0  4  0 24]
 [ 0  8  0 25]]"
42,,,0.9423477798700333,50.5,0.4553200768775872,0.3692012194675546,"[[ 0  2  0 40]
 [ 0 72  0 25]
 [ 0  3  0 25]
 [ 0  4  0 29]]"
43,,,0.9730501025915146,50.0,0.4576433823529411,0.3904135095213768,"[[ 0  1  0 41]
 [ 0 69  0 28]
 [ 0  1  0 27]
 [ 0  2  0 31]]"
44,,,0.9332896620035172,51.0,0.44536959607196286,0.3132666310848695,"[[ 0  5  0 37]
 [ 0 80  0 17]
 [ 0  6  0 22]
 [ 0 11  0 22]]"
45,,,0.9582205563783646,52.5,0.44349945828819065,0.3043765740229922,"[[ 0 11  0 31]
 [ 0 85  0 12]
 [ 0  7  0 21]
 [ 0 13  0 20]]"
46,,,1.0296533405780792,54.0,0.42901859504132234,0.27586974477145837,"[[ 0 17  0 25]
 [ 0 93  0  4]
 [ 0 17  0 11]
 [ 0 18  0 15]]"
47,,,0.9291279762983322,51.5,0.45485685110245455,0.3386277763510432,"[[ 0  3  0 39]
 [ 0 79  0 18]
 [ 0  5  0 23]
 [ 0  9  0 24]]"
48,,,0.93349589407444,51.0,0.45815322850451656,0.36086144367485634,"[[ 0  2  0 40]
 [ 0 75  0 22]
 [ 0  3  0 25]
 [ 0  6  0 27]]"
49,,,0.9387682229280472,51.0,0.45815322850451656,0.36086144367485634,"[[ 0  2  0 40]
 [ 0 75  0 22]
 [ 0  3  0 25]
 [ 0  6  0 27]]"
0,,,1.3187797963619232,47.5,0.44077191386108583,0.3825774576606565,"[[ 0  0 42  0]
 [ 0 68 29  0]
 [ 0  1 27  0]
 [ 0  2 31  0]]"
1,,,1.2679307758808136,48.5,0.3168013468013468,0.0,"[[ 0 42  0  0]
 [ 0 97  0  0]
 [ 0 28  0  0]
 [ 0 33  0  0]]"
2,,,1.2325244843959808,48.5,0.3168013468013468,0.0,"[[ 0 42  0  0]
 [ 0 97  0  0]
 [ 0 28  0  0]
 [ 0 33  0  0]]"
3,,,1.174742192029953,48.5,0.3168013468013468,0.0,"[[ 0 42  0  0]
 [ 0 97  0  0]
 [ 0 28  0  0]
 [ 0 33  0  0]]"
4,,,1.0992790460586548,48.5,0.3168013468013468,0.0,"[[ 0 42  0  0]
 [ 0 97  0  0]
 [ 0 28  0  0]
 [ 0 33  0  0]]"
5,,,1.0668782591819763,53.0,0.41525211958946895,0.24566215492406307,"[[ 0 22  0 20]
 [ 0 93  0  4]
 [ 0 17  0 11]
 [ 0 20  0 13]]"
6,,,1.0634030401706696,49.0,0.32757750397456276,0.08060292065912932,"[[ 0 42  0  0]
 [ 0 97  0  0]
 [ 0 28  0  0]
 [ 0 32  0  1]]"
7,,,1.024493619799614,50.5,0.4553200768775872,0.3692012194675546,"[[ 0  2  0 40]
 [ 0 72  0 25]
 [ 0  3  0 25]
 [ 0  4  0 29]]"
8,,,1.015551581978798,51.0,0.44536959607196286,0.3132666310848695,"[[ 0  5  0 37]
 [ 0 80  0 17]
 [ 0  6  0 22]
 [ 0 11  0 22]]"
9,,,1.1428918689489365,48.5,0.3168013468013468,0.0,"[[ 0 42  0  0]
 [ 0 97  0  0]
 [ 0 28  0  0]
 [ 0 33  0  0]]"
10,,,1.0154586136341095,52.5,0.44349945828819065,0.3043765740229922,"[[ 0 11  0 31]
 [ 0 85  0 12]
 [ 0  7  0 21]
 [ 0 13  0 20]]"
11,,,1.0044254809617996,53.0,0.4467096358362875,0.31083732370807116,"[[ 0 11  0 31]
 [ 0 86  0 11]
 [ 0  7  0 21]
 [ 0 13  0 20]]"
12,,,0.9837309569120407,50.5,0.458961038961039,0.37638161293064026,"[[ 0  1  0 41]
 [ 0 72  0 25]
 [ 0  2  0 26]
 [ 0  4  0 29]]"
13,,,0.9685384631156921,51.0,0.45815322850451656,0.36086144367485634,"[[ 0  2  0 40]
 [ 0 75  0 22]
 [ 0  3  0 25]
 [ 0  6  0 27]]"
14,,,0.9982892423868179,53.5,0.4287623310193643,0.27275015908288863,"[[ 0 15  0 27]
 [ 0 92  0  5]
 [ 0 16  0 12]
 [ 0 18  0 15]]"
15,,,1.0055675357580185,54.0,0.42993333022518526,0.2774127483042142,"[[ 0 16  0 26]
 [ 0 93  0  4]
 [ 0 17  0 11]
 [ 0 18  0 15]]"
16,,,0.9668921232223511,51.0,0.46515381218722396,0.4003411767507578,"[[ 0  1  0 41]
 [ 0 71  0 26]
 [ 0  1  0 27]
 [ 0  2  0 31]]"
17,,,0.9993883371353149,51.5,0.4471745921555016,0.31655834897174917,"[[ 0  6  0 36]
 [ 0 81  0 16]
 [ 0  6  0 22]
 [ 0 11  0 22]]"
18,,,0.9602193981409073,52.5,0.4465755044136192,0.31615621438923014,"[[ 0 10  0 32]
 [ 0 83  0 14]
 [ 0  7  0 21]
 [ 0 11  0 22]]"
19,,,0.9695485234260559,53.5,0.4464090909090909,0.30660790723291004,"[[ 0 11  0 31]
 [ 0 89  0  8]
 [ 0  8  0 20]
 [ 0 15  0 18]]"
20,,,0.9502642601728439,51.5,0.4471745921555016,0.31655834897174917,"[[ 0  6  0 36]
 [ 0 81  0 16]
 [ 0  6  0 22]
 [ 0 11  0 22]]"
21,,,0.9475506544113159,50.5,0.4553200768775872,0.3692012194675546,"[[ 0  2  0 40]
 [ 0 72  0 25]
 [ 0  3  0 25]
 [ 0  4  0 29]]"
22,,,1.0510385036468506,52.0,0.3912535803522458,0.19810390377893308,"[[ 0 31  0 11]
 [ 0 95  0  2]
 [ 0 22  0  6]
 [ 0 24  0  9]]"
23,,,0.961082249879837,50.5,0.458961038961039,0.37638161293064026,"[[ 0  1  0 41]
 [ 0 72  0 25]
 [ 0  2  0 26]
 [ 0  4  0 29]]"
24,,,1.0117183774709702,54.0,0.430875,0.27898143738005626,"[[ 0 16  0 26]
 [ 0 93  0  4]
 [ 0 16  0 12]
 [ 0 18  0 15]]"
25,,,1.0028910636901855,53.5,0.42255702280912366,0.26158032606596676,"[[ 0 19  0 23]
 [ 0 93  0  4]
 [ 0 17  0 11]
 [ 0 19  0 14]]"
26,,,0.9527474790811539,51.5,0.442766106442577,0.30879306116679633,"[[ 0  8  0 34]
 [ 0 81  0 16]
 [ 0  7  0 21]
 [ 0 11  0 22]]"
27,,,1.0087587088346481,54.0,0.4333142779365728,0.28383809655534736,"[[ 0 15  0 27]
 [ 0 92  0  5]
 [ 0 16  0 12]
 [ 0 17  0 16]]"
28,,,0.9660710543394089,53.0,0.4467096358362875,0.31083732370807116,"[[ 0 11  0 31]
 [ 0 86  0 11]
 [ 0  7  0 21]
 [ 0 13  0 20]]"
29,,,0.9637036621570587,51.5,0.4442096893060781,0.31135300042297576,"[[ 0  7  0 35]
 [ 0 81  0 16]
 [ 0  7  0 21]
 [ 0 11  0 22]]"
30,,,0.968404158949852,52.5,0.44252173913043485,0.2998397533649625,"[[ 0 11  0 31]
 [ 0 86  0 11]
 [ 0  7  0 21]
 [ 0 14  0 19]]"
31,,,0.9463621824979782,51.5,0.4509762986145567,0.32733088329753923,"[[ 0  4  0 38]
 [ 0 80  0 17]
 [ 0  6  0 22]
 [ 0 10  0 23]]"
32,,,0.9476243257522583,51.5,0.4509762986145567,0.32733088329753923,"[[ 0  4  0 38]
 [ 0 80  0 17]
 [ 0  6  0 22]
 [ 0 10  0 23]]"
33,,,0.9409793317317963,51.5,0.4442096893060781,0.31135300042297576,"[[ 0  7  0 35]
 [ 0 81  0 16]
 [ 0  7  0 21]
 [ 0 11  0 22]]"
34,,,1.0653619915246964,52.5,0.40656470588235294,0.22671224533162057,"[[ 0 25  0 17]
 [ 0 93  0  4]
 [ 0 19  0  9]
 [ 0 21  0 12]]"
35,,,0.9313107281923294,51.0,0.45815322850451656,0.36086144367485634,"[[ 0  2  0 40]
 [ 0 75  0 22]
 [ 0  3  0 25]
 [ 0  6  0 27]]"
36,,,0.9671685546636581,53.5,0.448850780963256,0.31298085114420926,"[[ 0 11  0 31]
 [ 0 88  0  9]
 [ 0  7  0 21]
 [ 0 14  0 19]]"
37,,,1.0005715191364288,54.5,0.442987012987013,0.3033677056079168,"[[ 0 13  0 29]
 [ 0 92  0  5]
 [ 0 13  0 15]
 [ 0 16  0 17]]"
38,,,1.1964215785264969,50.5,0.3594736842105263,0.14218372923660777,"[[ 0 36  0  6]
 [ 0 97  0  0]
 [ 0 26  0  2]
 [ 0 29  0  4]]"
39,,,1.0413608849048615,53.0,0.4177787456445994,0.25020089846829224,"[[ 0 19  0 23]
 [ 0 93  0  4]
 [ 0 17  0 11]
 [ 0 20  0 13]]"
40,,,0.9386093467473984,51.5,0.4565058876811594,0.3415404289772276,"[[ 0  3  0 39]
 [ 0 79  0 18]
 [ 0  4  0 24]
 [ 0  9  0 24]]"
